weight_unit : Единица веса;name : Название;weight : Вес;article : Артикул;amount : Количество;price : Цена;vendor : Производитель;folder : Категория;image : Иллюстрация
кг;Кулер для воды LK-AEL-85c white/black; 4.92;Артикул: 00412;отсутствует;4830;AEL;Напольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/c49/500_500_1/b41rs2gjs0b9x34fzp2c0z09y6kk7uhw.jpg,
кг;Кулер для воды L-AEL-088 white/black; 4.65;Артикул: 00381;4;3950;AEL;Напольные кулеры для воды;https://akva-mir.ru/upload/resize_cache/iblock/943/500_500_1/58il8m5gcplfk7uh0kae0n7ecl5vpj5n.jpg,https://akva-mir.ru/upload/resize_cache/iblock/46f/500_500_1/auzkvq40584fm9xsenm6fah693np2ezi.jpg,https://akva-mir.ru/upload/resize_cache/iblock/e9c/500_500_1/zbewzdj6chgqcvhc4hcuv4eiwx2ulcm4.jpg,https://akva-mir.ru/upload/resize_cache/iblock/9e3/500_500_1/8a0f5mvek8tep3y0ud9ofogmtfy53tlm.jpg,https://akva-mir.ru/upload/resize_cache/iblock/602/500_500_1/h5coyne09blxcbbsjggh6oihmfyz0cl4.jpg,https://akva-mir.ru/upload/resize_cache/iblock/a59/500_500_1/f2r3h4tdedw2fhck0hm07s9qqs6q7o4t.jpg,https://akva-mir.ru/upload/resize_cache/iblock/70c/500_500_1/ji15dpdb0gxbicl4hsss75zqn81sjh55.jpg,https://akva-mir.ru/upload/resize_cache/iblock/524/500_500_1/m56zojvvdvxhnh96npakxecdw36zj8pl.jpg,
